date,region,customer_segment,revenue,search_index,gdp_growth,inflation_rate,year,month,quarter,is_month_end,season,rev_lag_1,rev_lag_3,gdp_lag_1,infl_lag_1,rev_roll_3,rev_roll_6,trend_roll_6,revenue_norm,search_norm,revenue_winsorized
2019-01-01,East,Consumer,25448.03,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.49179674790596317,0.5791309012875536,25448.03
2019-01-01,West,Home Office,20335.68,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,NULL,0.298383032816035,0.5791309012875536,20335.68
2019-01-01,West,Corporate,20341.46,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,NULL,0.2986017054955698,0.5791309012875536,20341.46
2019-01-01,West,Consumer,22856.4,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,NULL,0.39374853398506376,0.5791309012875536,22856.4
2019-01-01,South,Corporate,20914.62,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,NULL,0.320285863454423,0.5791309012875536,20914.62
2019-01-01,South,Consumer,25307.57,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,51.94,0.4864827747974062,0.5791309012875536,25307.57
2019-01-01,South,Home Office,20914.66,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,51.94,0.3202873767601638,0.5791309012875536,20914.66
2019-01-01,North,Corporate,21154.34,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,51.94,0.3293551047585899,0.5791309012875536,21154.34
2019-01-01,North,Consumer,22741.79,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,51.94,0.3894125347114505,0.5791309012875536,22741.79
2019-01-01,East,Home Office,20326.31,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,51.94,0.2980285409462701,0.5791309012875536,20326.31
2019-01-01,East,Corporate,23418.59,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,51.94,0.415017667844523,0.5791309012875536,23418.59
2019-01-01,North,Home Office,23119.22,51.94,3.95,5.66,2019,1,1,False,Winter,NULL,NULL,3.95,5.66,NULL,NULL,51.94,0.4036917093544995,0.5791309012875536,23119.22
2019-02-01,South,Corporate,20216.0,56.72,4.4,5.19,2019,2,1,False,Winter,20914.62,NULL,3.95,5.66,NULL,NULL,52.73666666666666,0.2938552220397848,0.7073497854077254,20216.0
2019-02-01,West,Home Office,19186.21,56.72,4.4,5.19,2019,2,1,False,Winter,20335.68,NULL,4.4,5.19,NULL,NULL,53.53333333333333,0.2548955440712464,0.7073497854077254,19186.21
2019-02-01,West,Corporate,22916.9,56.72,4.4,5.19,2019,2,1,False,Winter,20341.46,NULL,4.4,5.19,NULL,NULL,54.330000000000005,0.39603740891791084,0.7073497854077254,22916.9
2019-02-01,West,Consumer,22183.64,56.72,4.4,5.19,2019,2,1,False,Winter,22856.4,NULL,4.4,5.19,NULL,NULL,55.126666666666665,0.3682962447318044,0.7073497854077254,22183.64
2019-02-01,South,Home Office,23533.69,56.72,4.4,5.19,2019,2,1,False,Winter,20914.66,NULL,4.4,5.19,NULL,NULL,55.923333333333325,0.4193722051134601,0.7073497854077254,23533.69
2019-02-01,South,Consumer,21342.36,56.72,4.4,5.19,2019,2,1,False,Winter,25307.57,NULL,4.4,5.19,NULL,NULL,56.72,0.33646839839286935,0.7073497854077254,21342.36
2019-02-01,East,Home Office,26412.2,56.72,4.4,5.19,2019,2,1,False,Winter,20326.31,NULL,4.4,5.19,NULL,NULL,56.72,0.5282738478068417,0.7073497854077254,26412.2
2019-02-01,North,Corporate,17964.88,56.72,4.4,5.19,2019,2,1,False,Winter,21154.34,NULL,4.4,5.19,NULL,NULL,56.72,0.2086894015632449,0.7073497854077254,17964.88
2019-02-01,North,Consumer,23352.98,56.72,4.4,5.19,2019,2,1,False,Winter,22741.79,NULL,4.4,5.19,NULL,NULL,56.72,0.4125354681032983,0.7073497854077254,23352.98
2019-02-01,East,Corporate,19217.32,56.72,4.4,5.19,2019,2,1,False,Winter,23418.59,NULL,4.4,5.19,NULL,NULL,56.72,0.25607251761109556,0.7073497854077254,19217.32
2019-02-01,East,Consumer,20478.02,56.72,4.4,5.19,2019,2,1,False,Winter,25448.03,NULL,4.4,5.19,NULL,NULL,56.72,0.3037681312944061,0.7073497854077254,20478.02
2019-02-01,North,Home Office,18435.78,56.72,4.4,5.19,2019,2,1,False,Winter,23119.22,NULL,4.4,5.19,NULL,NULL,56.72,0.2265047933959337,0.7073497854077254,18435.78
2019-03-01,South,Corporate,21798.4,61.43,4.35,5.4,2019,3,1,False,Spring,20216.0,NULL,4.4,5.19,20976.34,NULL,57.505,0.3537215971428789,0.8336909871244637,21798.4
2019-03-01,West,Home Office,20247.89,61.43,4.35,5.4,2019,3,1,False,Spring,19186.21,NULL,4.35,5.4,19923.26,NULL,58.29,0.2950617050415781,0.8336909871244637,20247.89
2019-03-01,West,Corporate,25356.36,61.43,4.35,5.4,2019,3,1,False,Spring,22916.9,NULL,4.35,5.4,22871.573333333334,NULL,59.074999999999996,0.488328629474656,0.8336909871244637,25356.36
2019-03-01,West,Consumer,20655.72,61.43,4.35,5.4,2019,3,1,False,Spring,22183.64,NULL,4.35,5.4,21898.58666666667,NULL,59.85999999999999,0.3104909920475784,0.8336909871244637,20655.72
2019-03-01,South,Home Office,22570.77,61.43,4.35,5.4,2019,3,1,False,Spring,23533.69,NULL,4.35,5.4,22339.706666666665,NULL,60.64499999999999,0.3829423960169793,0.8336909871244637,22570.77
2019-03-01,South,Consumer,24239.25,61.43,4.35,5.4,2019,3,1,False,Spring,21342.36,NULL,4.35,5.4,23629.726666666666,NULL,61.43,0.4460654050741142,0.8336909871244637,24239.25
